,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q1_13,Q1_14,Q1_15,Q1_16,Q1_17,Q1_18,Q1_19,Q1_20,Q1_21,Q1_22,Q1_23,Q1_24,Q1_25,Q1_26,Q1_27,Q1_28,Q1_29,Q1_30
Q1_11,0.5628410811472345,0.27549949643699956,0.3063844573007762,0.3018042762119673,0.22966015607561016,0.558180081582228,0.36150022721151004,0.3835780036743731,0.4380779601337797,0.2482463569408844,1.0,0.2839586972136121,0.4099316863765187,0.406483438575035,0.28466597504294683,0.4179358086297274,0.23938916659098303,0.33972621690079047,0.44394011455043736,0.27510471192824754,0.3869850148838778,0.2097610198270598,0.34338114026954186,0.391905003696691,0.2874506130648677,0.4074837041065796,0.2811622150765395,0.20968150236585936,0.4277122355902407,0.01942917789731526
Q1_12,0.33243113242865313,0.4188924349085473,0.3498079956939646,0.34999797661452337,0.18725428825257723,0.391129230579488,0.333426050143244,0.3638539409861874,0.41453251923787443,0.3201753560727574,0.2839586972136121,1.0,0.40011303445327195,0.4100205741265921,0.3890405866443151,0.3222083427587447,0.5725969381090116,0.3482237750711231,0.36845745210696135,0.32508489450320455,0.3967583771338938,0.37389607006248654,0.3578952586988039,0.2959264009954109,0.28572787181594717,0.24901476370611203,0.7177551274438788,0.20465719736073054,0.2448482759920214,0.03112668295454821
Q1_13,0.33810781015496943,0.44576045837718836,0.3838543149399143,0.35469877611616407,0.1599459330383418,0.35629075228076273,0.4926623832850381,0.4293019992620046,0.49032044763728644,0.3072462210340879,0.4099316863765187,0.40011303445327195,1.0,0.5610126644017898,0.39408955563392845,0.4692050137189257,0.3374613625784421,0.5069237573678357,0.43902747612829296,0.3518314018258425,0.47511758826283235,0.2719816847572369,0.5398408160317268,0.4362303552303269,0.29970797640694086,0.3431642430052486,0.4438830771290709,0.31982924719133893,0.3947426850018933,0.1016043809838795
Q1_14,0.3293389702981898,0.45269902874238216,0.3340452975353013,0.5166042784078108,0.19214439468093586,0.4470535432347049,0.40991584084733657,0.40976507651964256,0.5498323083732894,0.32416747103769317,0.406483438575035,0.4100205741265921,0.5610126644017898,1.0,0.5582715085806316,0.35711509654834744,0.3369825177588454,0.4265809692974353,0.5022117144054868,0.35647717207798446,0.4174574230733129,0.24077562102254155,0.28766210426581046,0.4255743215233025,0.3431095539997595,0.38049865932846333,0.37638296525421433,0.33560548845896215,0.4852330160555187,-0.023025186170779727
Q1_15,0.233939973354511,0.3266335664079085,0.3898731696842696,0.44536137419174165,0.24159608715338513,0.3782832499206486,0.25280970335567565,0.3842475666322294,0.3868833837516721,0.3821277387442456,0.28466597504294683,0.3890405866443151,0.39408955563392845,0.5582715085806316,1.0,0.32031188705188923,0.39886322084864784,0.4278876682696702,0.43685628870003845,0.5465475784141118,0.37482870626757586,0.2359521447062769,0.37785826183630966,0.34316176244109203,0.3107382473056171,0.4236094751124731,0.376227301912767,0.3088533026921181,0.36629513601273794,0.003345219964573749
Q1_16,0.4291882027171754,0.3713262510078389,0.3795231754855776,0.31609705962385337,0.12283865344492419,0.3502015560588265,0.4345032892352065,0.3671745870137472,0.42720385230138197,0.2166544966816589,0.4179358086297274,0.3222083427587447,0.4692050137189257,0.35711509654834744,0.32031188705188923,1.0,0.27665661827779775,0.3613828594884007,0.3715970667984875,0.32248755293540043,0.522780067928154,0.2682131746776565,0.38649791692752855,0.40618988451985943,0.2775337465327914,0.3805918029473243,0.36416063442154756,0.22850209487961726,0.34314393175973806,-0.011229631698924908
Q1_17,0.28026263420474845,0.3606053101702314,0.31083982570914126,0.2601505094626148,0.15295744519938526,0.33520081292855686,0.3164501547503301,0.3909584152706568,0.36078805117742163,0.2945110294112374,0.23938916659098303,0.5725969381090116,0.3374613625784421,0.3369825177588454,0.39886322084864784,0.27665661827779775,1.0,0.4124754790635813,0.3458123410293383,0.3117178509616451,0.402700359904123,0.3646804358853129,0.39247183213615255,0.3057525021385474,0.2494208202948291,0.30223004486081306,0.5168269050679092,0.19727291343908182,0.21932415415247894,0.006531204046124774
Q1_18,0.35126258342519573,0.3941248705088899,0.5117201220241702,0.3151009163686398,0.11919376986155775,0.43243373642473026,0.5160629603538229,0.6125338777918912,0.44871444605852157,0.3265652767184481,0.33972621690079047,0.3482237750711231,0.5069237573678357,0.4265809692974353,0.4278876682696702,0.3613828594884007,0.4124754790635813,1.0,0.4658504189946665,0.4731603198414251,0.44481540692362076,0.32327748276586354,0.5989709435183443,0.47337747376599243,0.36390487597699805,0.44000753588856956,0.4163450118874717,0.286811049526316,0.3898454618684388,0.024697808922875746
Q1_19,0.38211601438857556,0.28388472957719857,0.3505302497494025,0.5002238626735904,0.1703134065117975,0.44887898846917135,0.362488320018376,0.4529921573292524,0.5602554188940732,0.2727999981970357,0.44394011455043736,0.36845745210696135,0.43902747612829296,0.5022117144054868,0.43685628870003845,0.3715970667984875,0.3458123410293383,0.4658504189946665,1.0,0.4442236095899963,0.4206809571918208,0.2579058173779478,0.3919145732094927,0.5218786959179511,0.33560595304793356,0.3796600232839925,0.3711814286321826,0.2235744146280705,0.4499321500438691,-0.06869968474824427
Q1_20,0.28681016416053373,0.29044328906072087,0.43887481727780087,0.3557503805115927,0.2739412007077601,0.3602297440222712,0.3668063643688582,0.487902468102746,0.3521756274424781,0.3687823783074259,0.27510471192824754,0.32508489450320455,0.3518314018258425,0.35647717207798446,0.5465475784141118,0.32248755293540043,0.3117178509616451,0.4731603198414251,0.4442236095899963,1.0,0.4203862546871048,0.2495602249330349,0.41854053964943716,0.3528485984683296,0.35435989805876494,0.34089414376432947,0.3807823266312205,0.3123582557593336,0.30655541128116265,-0.08831047172616799
